entity,type
LANKA,ORGANIZATION
Digital,ORGANIZATION
Aadhav,PERSON
Arjuna,ORGANIZATION
Nirmal Kumar,PERSON
Vijay,PERSON
TVK,ORGANIZATION
Actor,PERSON
Vijay,PERSON
Indian,GPE
Media,ORGANIZATION
Dalai,PERSON
India,GPE
Electronic Edition,ORGANIZATION
Indian,GPE
Media,ORGANIZATION
TVK,ORGANIZATION
Vijay Apr,PERSON
India,GPE
Electronic Edition,ORGANIZATION
TIMES,ORGANIZATION
TIMES,ORGANIZATION
BJP,ORGANIZATION
Vijay Feb,PERSON
India,GPE
Electronic Edition,ORGANIZATION
TIMES,ORGANIZATION
TIMES,ORGANIZATION
Gopichand,GPE
Malineni Says Vijay,PERSON
Film Due,ORGANIZATION
Choose Tamil Director,PERSON
For Final,ORGANIZATION
Indian,GPE
Media,ORGANIZATION
Watch,PERSON
Udhayanidhi,GPE
Vijay,PERSON
DMK,ORGANIZATION
India,GPE
MOTN,ORGANIZATION
Tamil Nadu,PERSON
India,GPE
Centre,GPE
Dalai Lama,PERSON
India,GPE
Electronic Edition,ORGANIZATION
TIMES,ORGANIZATION
India,GPE
Electronic Edition,ORGANIZATION
TIMES,ORGANIZATION
TIMES,ORGANIZATION
AP,ORGANIZATION
India,GPE
TOI,ORGANIZATION
TRICHY,ORGANIZATION
Vijay,PERSON
TVK Boycotts Erode East Bypoll,ORGANIZATION
Indian,GPE
Media,ORGANIZATION
AIADMK,ORGANIZATION
DMDK,ORGANIZATION
Tamil,PERSON
Nadu,ORGANIZATION
Regupathy,PERSON
TVK,ORGANIZATION
Vijay,PERSON
Tamil,GPE
CRPF,ORGANIZATION
Vijay,PERSON
Tamilaga Vettri Kazhagam,PERSON
Premium Oct,PERSON
Actor,PERSON
Vijay,PERSON
BJP,ORGANIZATION
DMK,ORGANIZATION
India,GPE
DMK,ORGANIZATION
Annamalai Feb,PERSON
AP,ORGANIZATION
India,GPE
Electronic Edition,ORGANIZATION
TIMES,ORGANIZATION
TIMES,ORGANIZATION
Tamil,GPE
CRPF,ORGANIZATION
MENAFN,ORGANIZATION
Business,ORGANIZATION
Finance News,ORGANIZATION
English,GPE
Cards,PERSON
Palaniswami,GPE
Keeps Options Open,PERSON
Business,ORGANIZATION
Actor,PERSON
Vijay Mocks,PERSON
LKG,ORGANIZATION
UKG Kids,ORGANIZATION
INDIA,ORGANIZATION
Digital,ORGANIZATION
Annamalai,PERSON
India,GPE
TOI,ORGANIZATION
INDIA Akhilesh,ORGANIZATION
YSR,ORGANIZATION
Congress Files Petition Against Waqf Act,ORGANIZATION
Supreme Court,ORGANIZATION
Serious Constitutional Violations,PERSON
India,GPE
Shashank Nair,PERSON
Patra,GPE
BJP,ORGANIZATION
Manipur,PERSON
India,GPE
Electronic Edition,ORGANIZATION
Tamil,GPE
CRPF,ORGANIZATION
Indian,GPE
Thalapathy,GPE
Vijay,ORGANIZATION
Climb Up Van,PERSON
Meet Kollywood Superstar,PERSON
Rally,PERSON
Watch Apr,PERSON
LATEST Times,ORGANIZATION
Digital,ORGANIZATION
