entity,type
Sikhs,GPE
Kangana,PERSON
CNN,ORGANIZATION
Ranaut,PERSON
Jarnail Singh Khalsa Bhindranwale,PERSON
Sri Akal Takht Sahib,PERSON
Vijay,PERSON
Tamilaga Vettri Kazhagam,PERSON
TVK,ORGANIZATION
WATCH,ORGANIZATION
Kangana Ranaut,PERSON
Emergency,PERSON
Indira Gandhi,PERSON
Kangana,GPE
Emergency,PERSON
Anupam Kher,PERSON
Milind Soman,PERSON
Mahima Chaudhry,PERSON
Shreyas Talpade,PERSON
Shreyas,PERSON
Talpade,PERSON
Atal Bihari Vajpayee,ORGANIZATION
Anupam Kher,PERSON
Jayaprakash Narayan,PERSON
Satish,GPE
Kaushik,PERSON
Jagjivan Ram,PERSON
India,GPE
Emergency,GPE
MENAFN22082024007385015968ID1108588917 Classification,ORGANIZATION
SIKHISM,ORGANIZATION
CENSORSHIP,ORGANIZATION
ACTORS,ORGANIZATION
ACTRESSES,ORGANIZATION
ASSASSINATION,ORGANIZATION
DELAYS,ORGANIZATION
POSTPONEMENTS,ORGANIZATION
DRAMA,ORGANIZATION
FILM,ORGANIZATION
NEGATIVE,ORGANIZATION
CONSPIRACY,ORGANIZATION
POLITICAL,ORGANIZATION
ELECTIONS,ORGANIZATION
PUBLIC,ORGANIZATION
GOVERNMENT,ORGANIZATION
HEADS OF,ORGANIZATION
MINISTERS,ORGANIZATION
ACTRESSES,ORGANIZATION
DRAMA,ORGANIZATION
FILM,ORGANIZATION
Geographic,PERSON
INDIA,GPE
Document,ORGANIZATION
Vijay,PERSON
DNA,ORGANIZATION
DNA,ORGANIZATION
Daily News,ORGANIZATION
Analysis,GPE
Contify.com,ORGANIZATION
Byline,PERSON
Simran Singh Body,PERSON
Thalapathy Vijay,ORGANIZATION
Tamil,GPE
Thalapathy,GPE
Vijay,PERSON
Tamil,GPE
Vijay,PERSON
H Vinoth,PERSON
Ajith Kumar,PERSON
Valimai,GPE
Anirudh,GPE
KVN Productions,ORGANIZATION
Thalapathy69,GPE
HVinoth,ORGANIZATION
Rockstar,ORGANIZATION
Super,GPE
Democracy,ORGANIZATION
Thalapathy Vijay,ORGANIZATION
Please,GPE
Nee Yaaro,PERSON
Kaththi,GPE
GOAT,ORGANIZATION
Joseph,PERSON
Vijay Chandrasekhar,PERSON
Vijay,PERSON
Thalapathy Vijay,ORGANIZATION
KVN Productions,ORGANIZATION
Vijay,PERSON
Tamilaga Vettri Kazhagam,PERSON
Hence,GPE
Tamil Nadu,PERSON
FILM,ORGANIZATION
DIRECTORS,ORGANIZATION
ELECTIONS,ORGANIZATION
MOVIE,ORGANIZATION
PUBLIC,ORGANIZATION
HOBBIES,ORGANIZATION
FILM,ORGANIZATION
MOVIE,ORGANIZATION
Geographic,PERSON
INDIA,GPE
INDIA,GPE
Document,ORGANIZATION
TN,ORGANIZATION
CM Stalin,ORGANIZATION
EPS,ORGANIZATION
Dateline,PERSON
Delhi Body,PERSON
Tamil Nadu,PERSON
Christmas,GPE
Large,GPE
Jesus Christ,PERSON
Christmas,GPE
Tamil Nadu,ORGANIZATION
Tamil,PERSON
Nadu,ORGANIZATION
Stalin,PERSON
CM,ORGANIZATION
Stalin,PERSON
Jesus Christ,PERSON
Tamil,PERSON
Nadu,GPE
AIADMK,ORGANIZATION
General,ORGANIZATION
Tamil Nadu,PERSON
Edappadi K. Palaniswami,PERSON
EPS,ORGANIZATION
EPS,ORGANIZATION
Christian,GPE
Christian,GPE
Christmas,ORGANIZATION
Tamilaga,PERSON
Vettri Kazhagam,PERSON
TVK,ORGANIZATION
Vijay,PERSON
Jesus Christ,PERSON
Tamil,PERSON
Nadu,ORGANIZATION
BJP,ORGANIZATION
Annamalai,PERSON
Christmas,ORGANIZATION
Annai Velankanni Cathedral,PERSON
Besant Nagar,GPE
Chennai,GPE
Christmas,ORGANIZATION
Tamil Nadu,PERSON
CHRISTMAS,ORGANIZATION
CHRISTIANS,ORGANIZATION
CHRISTIANITY,ORGANIZATION
GOVERNMENT,ORGANIZATION
MINISTERS,ORGANIZATION
HOLIDAYS,ORGANIZATION
OBSERVANCES,ORGANIZATION
TRENDS,ORGANIZATION
EVENTS,ORGANIZATION
CROWD,ORGANIZATION
FESTIVALS,ORGANIZATION
ELECTIONS,ORGANIZATION
SOCIAL,ORGANIZATION
SOCIAL,ORGANIZATION
Geographic,PERSON
NEW,ORGANIZATION
INDIA,GPE
CHENNAI,ORGANIZATION
TAMIL,ORGANIZATION
INDIA,GPE
TAMIL,ORGANIZATION
INDIA,GPE
INDIA,GPE
Document,ORGANIZATION
Democracy,ORGANIZATION
TVK Passes Resolution Against,ORGANIZATION
Zee News,ORGANIZATION
Zee News,ORGANIZATION
Dateline,PERSON
Delhi Body,PERSON
Vijay,PERSON
Tamilaga Vettri Kazhagam,PERSON
TVK,ORGANIZATION
Centre,ORGANIZATION
TVK,ORGANIZATION
DMK,ORGANIZATION
Vijay,GPE
TVK,ORGANIZATION
Vikravandi,GPE
Waqf Board,ORGANIZATION
Bill,PERSON
Muslims,PERSON
TVK,ORGANIZATION
Tamil Nadu,GPE
National Eligibility,ORGANIZATION
Entrance Test,PERSON
NEET,ORGANIZATION
Centre,ORGANIZATION
Concurrent List,ORGANIZATION
State Autonomy,ORGANIZATION
Education,ORGANIZATION
Union,ORGANIZATION
State List,ORGANIZATION
NEET,ORGANIZATION
State,ORGANIZATION
Tamil,ORGANIZATION
Tamilazhagam,PERSON
Tamil Nadu,PERSON
Tamil,GPE
Song,PERSON
Tamil,PERSON
Union Government,ORGANIZATION
Inputs From ANI,PERSON
ELECTIONS,ORGANIZATION
PUBLIC,ORGANIZATION
GOVERNMENT,ORGANIZATION
REGIONAL,ORGANIZATION
LOCAL,ORGANIZATION
TALKS,ORGANIZATION
MEETINGS,ORGANIZATION
APPOINTMENTS,ORGANIZATION
ASSOCIATIONS,ORGANIZATION
ORGANIZATIONS,ORGANIZATION
CONFERENCES,ORGANIZATION
CONVENTIONS,ORGANIZATION
MUNICIPAL,ORGANIZATION
DEMOGRAPHIC,ORGANIZATION
RELIGION,ORGANIZATION
Geographic,PERSON
NEW,ORGANIZATION
INDIA,GPE
TAMIL,ORGANIZATION
INDIA,GPE
INDIA,GPE
Document Tamil,ORGANIZATION
Vijay Criticises,PERSON
Model,PERSON
Sectarian Politics Free,ORGANIZATION
India,GPE
Indian,GPE
National,ORGANIZATION
Contify.com,ORGANIZATION
Byline,PERSON
Tamil,GPE
Vijay,PERSON
Tamilaga Vettri Kazhagam,ORGANIZATION
TVK,ORGANIZATION
Vikravandi,ORGANIZATION
Tamil Nadu,PERSON
Villupuram,ORGANIZATION
Dravidian,GPE
Tamil,GPE
Kollywood,GPE
Minimum Guarantee,ORGANIZATION
DMK,ORGANIZATION
BJP,ORGANIZATION
Tamil Nadu,GPE
Periyar E V Ramasamy,PERSON
Dravidar Kazhagam,ORGANIZATION
Annadurai,GPE
Model,PERSON
BJP,ORGANIZATION
DMK,ORGANIZATION
Vijay,PERSON
Tamil Nadu,PERSON
DMK,ORGANIZATION
M Karunanidhi,PERSON
House,ORGANIZATION
Vijay,PERSON
Model,PERSON
BJP,ORGANIZATION
Vijay,PERSON
Mani,PERSON
ACTORS,ORGANIZATION
ACTRESSES,ORGANIZATION
PUBLIC,ORGANIZATION
TYPES OF GOVERNMENT,ORGANIZATION
CAMPAIGNS,ORGANIZATION
ELECTIONS,ORGANIZATION
ELECTIONS,ORGANIZATION
GOVERNMENT,ORGANIZATION
MINISTERS,ORGANIZATION
NEGATIVE,ORGANIZATION
RELIGION,ORGANIZATION
ACTRESSES,ORGANIZATION
Geographic,PERSON
CHENNAI,ORGANIZATION
TAMIL,ORGANIZATION
INDIA,GPE
MUMBAI,ORGANIZATION
MAHARASHTRA,ORGANIZATION
INDIA,GPE
TAMIL,ORGANIZATION
INDIA,GPE
PUDUCHERRY,ORGANIZATION
INDIA,GPE
INDIA,GPE
Document Anna University,ORGANIZATION
Biryani,PERSON
Chennai,GPE
Vijay,PERSON
MINT,ORGANIZATION
Dateline,PERSON
Delhi Body New Delhi,PERSON
Anna University,PERSON
Biryani,GPE
Anna University,PERSON
Chennai,GPE
Tamil Nadu,GPE
Tamilaga Vettri Kazhagam,PERSON
TVK,ORGANIZATION
Vijay,PERSON
Vijay,PERSON
Anna University,PERSON
Vijay,PERSON
Tamil Nadu,ORGANIZATION
MK Stalin,ORGANIZATION
Vijay,PERSON
Nirbhaya,ORGANIZATION
CCTV,ORGANIZATION
Read,PERSON
Biryani,ORGANIZATION
Anna University,PERSON
Chennai,GPE
Gnanasekaran,GSP
Kottur,GPE
HT Digital Content Services,ORGANIZATION
MINT,ORGANIZATION
LAW,ORGANIZATION
CORRECTIONS,ORGANIZATION
NEGATIVE,ORGANIZATION
NEGATIVE,ORGANIZATION
SOCIETAL,ORGANIZATION
SAFETY,GPE
SCHOOL,ORGANIZATION
SEX,ORGANIZATION
STUDENTS,ORGANIZATION
STUDENT,ORGANIZATION
CHILD,ORGANIZATION
NEGLECT,ORGANIZATION
CHILD,ORGANIZATION
EDUCATION,ORGANIZATION
INVESTIGATIONS,ORGANIZATION
ENFORCEMENT,ORGANIZATION
SUITS,ORGANIZATION
CLAIMS,ORGANIZATION
VIOLENT,ORGANIZATION
WOMEN,GPE
LAW,ORGANIZATION
LEGAL,ORGANIZATION
PANIC,ORGANIZATION
ADMISSIONS,ORGANIZATION
CONFESSIONS,ORGANIZATION
SOCIAL,ORGANIZATION
PUBLIC,ORGANIZATION
EDUCATION,ORGANIZATION
EDUCATIONAL,ORGANIZATION
MEDIA,ORGANIZATION
PANIC,ORGANIZATION
MOTORCOACHES,ORGANIZATION
BUSES,ORGANIZATION
SOCIAL,ORGANIZATION
TELEPHONIC,ORGANIZATION
PUBLIC,ORGANIZATION
MOBILE,ORGANIZATION
Geographic,PERSON
NEW,ORGANIZATION
INDIA,GPE
CHENNAI,ORGANIZATION
TAMIL,ORGANIZATION
INDIA,GPE
TAMIL,ORGANIZATION
INDIA,GPE
INDIA,GPE
Document Fatwa Against Tamil,ORGANIZATION
Iftar Party,ORGANIZATION
Muslims WebNews,PERSON
English,GPE
Body Maulana Shahabuddin Razvi,PERSON
TVK,ORGANIZATION
Vijay Thalapathy,PERSON
Muslims,PERSON
Tamilaga Vettri Kazhagam,PERSON
Document,ORGANIZATION
Kallakurichi,GPE
Asian News International,PERSON
ANI,ORGANIZATION
Asian,GPE
ANI,ORGANIZATION
Syndigate Media Inc.,ORGANIZATION
Byline,PERSON
ANI,ORGANIZATION
Tamil Nadu,PERSON
India,GPE
ANI,ORGANIZATION
Tamilaga Vettri Kazhagam,PERSON
Vijay,PERSON
Kallakurichi,PERSON
Tamil Nadu,GPE
Kallakurichi,ORGANIZATION
Vijay,PERSON
Karunapuram,GPE
Kallakurichi,GPE
Thalapathy,GPE
Vijay,PERSON
Tamil Nadu,ORGANIZATION
Vijay,PERSON
Tamil Nadu,ORGANIZATION
Director,PERSON
Amudhan,PERSON
Kallakurichi,GPE
Kallakurichi,GPE
Tamil Nadu,PERSON
Stalin,PERSON
Stalin,PERSON
Kallakurichi Hooch,ORGANIZATION
Tamil Nadu,ORGANIZATION
District,ORGANIZATION
Sravan Kumar Jatavath,PERSON
Samay Singh Meena,PERSON
Rajat Chaturvedi,PERSON
ANI,ORGANIZATION
LAW,ORGANIZATION
CORRECTIONS,ORGANIZATION
DEATH,ORGANIZATION
GOVERNMENT,ORGANIZATION
NEGATIVE,ORGANIZATION
GOVERNMENT,ORGANIZATION
MINISTERS,ORGANIZATION
ORGANIZED,ORGANIZATION
Geographic,PERSON
INDIA,GPE
INDIA,GPE
Greatest,ORGANIZATION
All Time,ORGANIZATION
Thalapathy,PERSON
DNA,ORGANIZATION
DNA,ORGANIZATION
Daily News,ORGANIZATION
Analysis,GPE
Contify.com,ORGANIZATION
Byline,PERSON
Aman Wadhwa Body Helmed,PERSON
Venkat Prabhu,PERSON
Thalapathy Vijay,ORGANIZATION
Greatest,ORGANIZATION
All Time,ORGANIZATION
GOAT,ORGANIZATION
Thalapathy Vijay,ORGANIZATION
Greatest,ORGANIZATION
All Time,ORGANIZATION
GOAT,ORGANIZATION
Prashanth,PERSON
Prabhu Deva,PERSON
Mohan,PERSON
Ajmal Ameer,PERSON
Jayaram,PERSON
Sneha,PERSON
Laila,PERSON
Meenakshi Chaudhary,PERSON
Yogi Babu,PERSON
India,GPE
Indian,GPE
Netflix,PERSON
Telugu,GPE
Hindi,PERSON
Malayalam,GPE
Kannada,GPE
OTT,ORGANIZATION
Thalapathy,GPE
Vijay,PERSON
Greatest Of All Time,ORGANIZATION
Netflix,PERSON
Tamil,GPE
Telugu,GPE
Malayalam,GPE
Kannada,PERSON
Hindi,PERSON
Thalapathy,GPE
Vijay,PERSON
Greatest Of All Time,ORGANIZATION
Netflix,PERSON
Tamil,GPE
Telugu,GPE
Malayalam,GPE
Kannada,PERSON
Hindi,PERSON
Venkat Prabhu,PERSON
Kalpathi S. Aghoram,PERSON
Kalpathi S. Ganesh,PERSON
Kalpathi S. Suresh,PERSON
AGS Entertainment,ORGANIZATION
Vijay,PERSON
Tamilaga Vettri Kazhagam,PERSON
Vijay,PERSON
Nerkonda Paarvai,PERSON
Valimai,PERSON
Thunivu,PERSON
Ajith Kumar,PERSON
Thalapathy,GPE
Vijay,PERSON
ADVENTURE,ORGANIZATION
MOVIE,ORGANIZATION
DRAMA,ORGANIZATION
FILM,ORGANIZATION
ACTORS,ORGANIZATION
ACTRESSES,ORGANIZATION
FILM,ORGANIZATION
MOVIE,ORGANIZATION
TICKET,ORGANIZATION
ELECTIONS,ORGANIZATION
PUBLIC,ORGANIZATION
NETFLIX,ORGANIZATION
NASDAQ,ORGANIZATION
NAICS532282,ORGANIZATION
DISC,ORGANIZATION
RENTAL,ORGANIZATION
SIC7841,ORGANIZATION
RENTAL,ORGANIZATION
ACTION,ORGANIZATION
ADVENTURE,ORGANIZATION
MOVIE,ORGANIZATION
DRAMA,ORGANIZATION
FILM,ORGANIZATION
MEDIA,ORGANIZATION
ACTORS,ORGANIZATION
ACTRESSES,ORGANIZATION
FILM,ORGANIZATION
MOVIE,ORGANIZATION
TICKET,ORGANIZATION
Geographic,PERSON
INDIA,GPE
Document Son,ORGANIZATION
AIADMK,ORGANIZATION
Vijay,PERSON
India,GPE
Online,PERSON
India,GPE
Body OP Ravindranath,PERSON
AIADMK,ORGANIZATION
O Panneerselvam,PERSON
Vijay,PERSON
Ravindranath,PERSON
Vijay,PERSON
Tamil Nadu,PERSON
Ravindranath,PERSON
Vijay,GPE
Vettri Kazhagam,PERSON
Ravindranath,GPE
AIADMK,ORGANIZATION
Edappadi K Palaniswami,PERSON
Ramanathapuram Lok Sabha,ORGANIZATION
OPS,ORGANIZATION
Ramanathapuram Lok Sabha,PERSON
Election Commission,ORGANIZATION
Ochappan Panneerselvam,PERSON
Oyya Thevar Panneerselvam,PERSON
Ocha Thevar Panneerselvam,PERSON
Oyyaram Panneerselvam,PERSON
Ravindranath,PERSON
Ramanathapuram,GPE
TTV Dhinakaran,ORGANIZATION
AMMK,ORGANIZATION
Theni,GPE
Edappadi K Palaniswami,PERSON
OPS,ORGANIZATION
Ramanathapuram,GPE
Ravindranath,PERSON
Link,GPE
Image Graphic Son,PERSON
AIADMK,ORGANIZATION
Vijay,PERSON
ELECTIONS,ORGANIZATION
PUBLIC,ORGANIZATION
POLITICAL,ORGANIZATION
TYPES OF GOVERNMENT,ORGANIZATION
GOVERNMENT,ORGANIZATION
MINISTERS,ORGANIZATION
ELECTION,ORGANIZATION
Geographic,PERSON
INDIA,GPE
INDIA,GPE
Document Suriya,ORGANIZATION
Thalapathy Vijay,ORGANIZATION
Digest,ORGANIZATION
Dateline,PERSON
Mumbai Body Mumbai,PERSON
Thalapathy Vijay,ORGANIZATION
Tamil,GPE
Suriya,PERSON
Thalapathy Vijay,PERSON
Suriya,GPE
Thalapathy Vijay Vijay,ORGANIZATION
Tamizhaga Vetri Kazhagam,PERSON
TVK,ORGANIZATION
Villupuram,GPE
Kanguva,GPE
Thalapathy Vijay,PERSON
Suriya,PERSON
Thalapathy Vijay,PERSON
Suriya,PERSON
Tamil,GPE
Vijay,PERSON
Kanguva Earlier,PERSON
Thalapathy Vijay,ORGANIZATION
Greatest,ORGANIZATION
All Time,ORGANIZATION
Suriya,PERSON
Kanguva,PERSON
Vijay,GPE
Suriya,GPE
Kollywood,ORGANIZATION
Vijay,PERSON
Suriya,GPE
Vijay,PERSON
Suriya,GPE
Nerrukku Ner,PERSON
Friends,GPE
Vijay,PERSON
Thalapathy Vijay,PERSON
Villupuram,GPE
Vikravandi,GPE
Vijay,PERSON
Tamilaga Vettri Kazhagam,PERSON
TVK,ORGANIZATION
TVK,ORGANIZATION
Thalapathy,GPE
Vijay,PERSON
Suriya,GPE
Kanguva,PERSON
ZEE5,ORGANIZATION
LionsgatePlay,ORGANIZATION
Ullu,PERSON
SunNXT,ORGANIZATION
SonyLIV,ORGANIZATION
Fancode,PERSON
HT Digital Content Services,ORGANIZATION
Entertainment Digest,ORGANIZATION
ACTRESSES,ORGANIZATION
STADIUMS,ORGANIZATION
ARENAS,ORGANIZATION
FILM,ORGANIZATION
NEWS,ORGANIZATION
CAMPAIGNS,ORGANIZATION
ELECTIONS,ORGANIZATION
ELECTIONS,ORGANIZATION
ELECTIONS,ORGANIZATION
ACTION,ORGANIZATION
ADVENTURE,ORGANIZATION
ACTRESSES,ORGANIZATION
MOVIE,ORGANIZATION
VIDEO,ORGANIZATION
MOVIE,ORGANIZATION
ENTERTAINMENT,ORGANIZATION
ARTS,ORGANIZATION
FILM,ORGANIZATION
MEDIA,ORGANIZATION
ACTION,ORGANIZATION
ADVENTURE,ORGANIZATION
TELEVISION,ORGANIZATION
Document,ORGANIZATION
DMK,ORGANIZATION
Indian,GPE
Indian,GPE
Dateline,PERSON
Delhi Body,PERSON
Vijay,PERSON
DMK,ORGANIZATION
Tamil Nadu,GPE
Tamil,GPE
Tamilaga Vettri Kazhagam,PERSON
TVK,ORGANIZATION
Vijay,PERSON
DMK,ORGANIZATION
Boss Pastor,PERSON
Stalin,PERSON
Vijay,PERSON
Vijay,PERSON
Tamil Nadu Lead,PERSON
Ravi,GPE
Boss,PERSON
Pastor,PERSON
Stalin,PERSON
Kallakurichi,GPE
Move,PERSON
Stalin,PERSON
PERFORMERS,ORGANIZATION
PUBLIC,ORGANIZATION
REGIONAL,ORGANIZATION
LOCAL,ORGANIZATION
GOVERNMENT,ORGANIZATION
AUTHORITIES,ORGANIZATION
ELECTIONS,ORGANIZATION
GOVERNMENT,ORGANIZATION
NEGATIVE,ORGANIZATION
PERFORMERS,ORGANIZATION
CLINICS,ORGANIZATION
OUTPATIENT,ORGANIZATION
Geographic,PERSON
NEW,ORGANIZATION
INDIA,GPE
TAMIL,ORGANIZATION
INDIA,GPE
INDIA,GPE
Document Suriya,ORGANIZATION
Thalapathy Vijay,ORGANIZATION
Dateline,PERSON
Mumbai Body Mumbai,PERSON
Thalapathy Vijay,ORGANIZATION
Tamil,GPE
Suriya,PERSON
Thalapathy Vijay,PERSON
Suriya,GPE
Thalapathy Vijay Vijay,ORGANIZATION
Tamizhaga Vetri Kazhagam,PERSON
TVK,ORGANIZATION
Villupuram,GPE
Kanguva,GPE
Thalapathy Vijay,PERSON
Suriya,PERSON
Thalapathy Vijay,PERSON
Suriya,PERSON
Tamil,GPE
Vijay,PERSON
Kanguva Earlier,PERSON
Thalapathy Vijay,ORGANIZATION
Greatest,ORGANIZATION
All Time,ORGANIZATION
Suriya,PERSON
Kanguva,PERSON
Vijay,GPE
Suriya,GPE
Kollywood,ORGANIZATION
Vijay,PERSON
Suriya,GPE
Vijay,PERSON
Suriya,GPE
Nerrukku Ner,PERSON
Friends,GPE
Vijay,PERSON
Thalapathy Vijay,PERSON
Villupuram,GPE
Vikravandi,GPE
Vijay,PERSON
Tamilaga Vettri Kazhagam,PERSON
TVK,ORGANIZATION
TVK,ORGANIZATION
Thalapathy,GPE
Vijay,PERSON
Suriya,GPE
Kanguva,PERSON
ZEE5,ORGANIZATION
LionsgatePlay,ORGANIZATION
Ullu,PERSON
SunNXT,ORGANIZATION
SonyLIV,ORGANIZATION
Fancode,PERSON
HT Digital Content Services,ORGANIZATION
Desimartini,GPE
ACTRESSES,ORGANIZATION
FILM,ORGANIZATION
STADIUMS,ORGANIZATION
ARENAS,ORGANIZATION
CAMPAIGNS,ORGANIZATION
ELECTIONS,ORGANIZATION
ELECTIONS,ORGANIZATION
ELECTIONS,ORGANIZATION
ACTION,ORGANIZATION
ADVENTURE,ORGANIZATION
ACTRESSES,ORGANIZATION
MOVIE,ORGANIZATION
VIDEO,ORGANIZATION
MOVIE,ORGANIZATION
FILM,ORGANIZATION
ENTERTAINMENT,ORGANIZATION
ARTS,ORGANIZATION
MEDIA,ORGANIZATION
ACTION,ORGANIZATION
ADVENTURE,ORGANIZATION
TELEVISION,ORGANIZATION
Document,ORGANIZATION
Seeman,PERSON
Vijay,PERSON
India,GPE
Electronic Edition,ORGANIZATION
Chennai Edition,PERSON
Bennett Coleman,PERSON
Byline,PERSON
TIMES,ORGANIZATION
NETWORK,ORGANIZATION
AIADMK Attacks,ORGANIZATION
Seeman,PERSON
Tamilaga Vettri Kazhagam,PERSON
Vijay,PERSON
Dravidam,PERSON
Tamil,GPE
Seeman,PERSON
Vijay,PERSON
AIADMK,ORGANIZATION
Chennai,GPE
Seeman,PERSON
Vijay,PERSON
Dravidam,PERSON
Tamil,PERSON
Seeman,PERSON
Tamil Nadu,PERSON
Seeman,PERSON
Dravidam,PERSON
Balachandran,GPE
LTTE,ORGANIZATION
Velupillai Prabhakaran,PERSON
Tamil,PERSON
TVK,ORGANIZATION
Vijay,PERSON
Vijay,PERSON
AIADMK,ORGANIZATION
J Jayalalithaa,PERSON
AIADMK,GPE
Gayathri Raguramm,PERSON
Seeman,PERSON
DMK,ORGANIZATION
Vijay,PERSON
AIADMK,ORGANIZATION
NTK,ORGANIZATION
AIADMK,ORGANIZATION
Vijay,PERSON
Seeman,PERSON
AIADMK,ORGANIZATION
Vikravandi,ORGANIZATION
Seeman,PERSON
AIADMK,ORGANIZATION
Edappadi K Palaniswami,PERSON
Cauvery,ORGANIZATION
Thai,GPE
NEGATIVE,ORGANIZATION
MISC,ORGANIZATION
NEGATIVE,ORGANIZATION
POLITICAL,ORGANIZATION
SOCIAL,ORGANIZATION
CORRUPTION,ORGANIZATION
NEGATIVE,ORGANIZATION
LEGAL,ORGANIZATION
GOVERNMENT,ORGANIZATION
MINISTERS,ORGANIZATION
DEATH,ORGANIZATION
LIBERATION,ORGANIZATION
HOLIDAYS,ORGANIZATION
OBSERVANCES,ORGANIZATION
CAMPAIGNS,ORGANIZATION
ELECTIONS,ORGANIZATION
BYELECTIONS,GPE
Geographic,PERSON
CHENNAI,ORGANIZATION
TAMIL,ORGANIZATION
INDIA,GPE
TAMIL,ORGANIZATION
INDIA,GPE
INDIA,GPE
Document Vijay,ORGANIZATION
India,GPE
REPORT,ORGANIZATION
Byline,PERSON
Amarnath K. Menon Highlight,PERSON
Vijay,PERSON
Rajini,PERSON
Kamal,PERSON
Dravidian,GPE
Body,PERSON
sans-serif,GPE
O,PERSON
Tamil,PERSON
Vijay,PERSON
Election,ORGANIZATION
Tamilaga Vettri Kazhagam,ORGANIZATION
TVK,ORGANIZATION
Dravidian,GPE
Rajinikanth,PERSON
Rajini Makkal Mandram,PERSON
Kamal Haasan,PERSON
Makkal Needhi,ORGANIZATION
Lok Sabha,ORGANIZATION
Assembly,ORGANIZATION
Young,ORGANIZATION
TVK,ORGANIZATION
DMK,ORGANIZATION
Stalin,PERSON
TVK,ORGANIZATION
Ramu,PERSON
Rama,PERSON
Rao,PERSON
Vijay,PERSON
Dravida Kazhagam,PERSON
Dravidian,GPE
Vijay,GPE
India,GPE
Magazine Subject,PERSON
ACTORS,ORGANIZATION
ACTRESSES,ORGANIZATION
ELECTIONS,ORGANIZATION
ELECTION,ORGANIZATION
FILM,ORGANIZATION
ACTRESSES,ORGANIZATION
FILM,ORGANIZATION
Geographic,PERSON
INDIA,GPE
INDIA,GPE
Document Maharaja,ORGANIZATION
Nithilan Saminathan,PERSON
Vijay,PERSON
Hindustan Times,PERSON
Dateline,PERSON
India,GPE
India,GPE
Nithilan Saminathan,PERSON
X,GPE
Tamil,GPE
Vijay Sethupathi,PERSON
Anurag Kashyap-starrer,PERSON
Vijay Sethupathi,PERSON
Anurag Kashyap,PERSON
Maharaja,ORGANIZATION
Vijay,PERSON
Sudhans2017,PERSON
Maharaja,GPE
Vijay Sethupathi,PERSON
Netflix,PERSON
Tamil,GPE
Telugu,GPE
Kannada,PERSON
Malayalam,PERSON
Hindi,PERSON
Maharaja,GPE
Lakshmi,PERSON
Abhirami,PERSON
Mamta Mohandas,PERSON
Vijay,PERSON
Venkat Prabhu,GPE
Greatest,ORGANIZATION
All,ORGANIZATION
Tamilaga Vettri Kazhagam,PERSON
GOAT,ORGANIZATION
Atlee,PERSON
HT Digital Content Services,ORGANIZATION
Hindustan Times,GPE
ACTRESSES,ORGANIZATION
PHOTO,ORGANIZATION
VIDEO,ORGANIZATION
ELECTIONS,ORGANIZATION
FILM,ORGANIZATION
PUBLIC,ORGANIZATION
VISUAL,ORGANIZATION
NETFLIX,ORGANIZATION
NASDAQ,ORGANIZATION
NAICS532282,ORGANIZATION
DISC,ORGANIZATION
RENTAL,ORGANIZATION
SIC7841,ORGANIZATION
RENTAL,ORGANIZATION
ACTORS,ORGANIZATION
ACTRESSES,ORGANIZATION
PHOTO,ORGANIZATION
VIDEO,ORGANIZATION
FILM,ORGANIZATION
MEDIA,ORGANIZATION
MOVIE,ORGANIZATION
VISUAL,ORGANIZATION
Geographic,PERSON
INDIA,GPE
Document Nainar Nagendran,ORGANIZATION
Vijay,PERSON
TVK,ORGANIZATION
WebNews,ORGANIZATION
English News,ORGANIZATION
Body Kancheepuram,PERSON
Bharatiya Janata Party,PERSON
BJP,ORGANIZATION
Tamil Nadu,PERSON
Nainar Nagendran,PERSON
BJP,ORGANIZATION
Vijay,PERSON
Tamilaga Vettri Kazhagam,PERSON
Document Vijay To Meet Protesters,ORGANIZATION
Parandur Airport Project,PERSON
MENAFN,ORGANIZATION
Business,ORGANIZATION
Finance News,ORGANIZATION
English,GPE
Body Link,PERSON
Link,PERSON
Story Chennai,PERSON
Tamil,GPE
Tamilaga Vettri Kazhagam,ORGANIZATION
TVK,ORGANIZATION
Vijay,PERSON
Greenfield Airport Project,PERSON
Parandur,GPE
Ekanapuram,GPE
TVK,ORGANIZATION
Vijay,PERSON
Ekanapuram,ORGANIZATION
Ambedkar Thidal,ORGANIZATION
Ekanapuram,GPE
Parandur,ORGANIZATION
Ekanapuram,GPE
Union,GPE
Parandur,ORGANIZATION
Tamil Nadu Revenue Department,ORGANIZATION
Pongal,GPE
TVK,ORGANIZATION
Jagannathan,PERSON
Ayyanathan,PERSON
Ekanapuram,PERSON
Vijay,PERSON
Protest,GPE
BJP,ORGANIZATION
PMK,ORGANIZATION
Puthiya Thamizhagam,PERSON
Arappor Iyakkam,PERSON
Vijay,PERSON
TVK,ORGANIZATION
MENAFN20012025000231011071ID1109107037,ORGANIZATION
MISC,ORGANIZATION
DEMONSTRATIONS,ORGANIZATION
NEGATIVE,ORGANIZATION
TALKS,ORGANIZATION
MEETINGS,ORGANIZATION
TRENDS,ORGANIZATION
EVENTS,ORGANIZATION
NEGATIVE,ORGANIZATION
PERSONAL,ORGANIZATION
SOCIETY,ORGANIZATION
SOCIAL,ORGANIZATION
LIFESTYLE,ORGANIZATION
LAND,ORGANIZATION
DEVELOPMENT,ORGANIZATION
BOYCOTTS,ORGANIZATION
